queryNumber;_precisionScore
1;0.1
2;0.0
3;0.2
4;0.0
5;0.6
6;0.1
7;0.4
8;0.0
9;0.1
10;0.2
11;0.6
12;0.0
13;0.0
14;0.0
15;0.1
16;0.2
17;0.2
18;0.5
19;0.0
20;0.2
21;0.4
22;0.2
23;0.1
24;0.1
25;0.2
26;0.1
27;0.1
28;0.2
29;0.1
30;0.1
31;0.2
32;0.4
33;0.8
34;0.1
35;0.4
36;0.1
37;0.9
38;0.1
39;0.4
40;0.4
41;0.3
42;0.3
43;0.6
44;0.8
45;0.0
46;0.0
47;0.1
48;0.1
49;0.4
50;0.1
51;0.1
52;0.1
53;0.4
54;0.0
55;0.0
56;0.1
57;0.2
58;0.0
59;0.0
60;0.0
61;0.1
62;0.5
63;0.1
64;0.1
65;0.0
66;0.2
67;0.0
68;0.0
69;0.2
70;0.1
71;0.2
72;0.4
73;0.3
74;0.2
75;0.4
76;0.4
77;0.4
78;0.3
79;0.1
80;0.1
81;0.1
82;0.2
83;0.2
84;0.2
85;0.0
86;0.4
87;0.1
88;0.1
89;0.0
90;0.3
91;0.2
92;0.1
94;0.4
95;0.1
96;0.2
97;0.2
98;0.2
99;0.2
100;0.3
