queryNumber;_precisionScore
1;0.1
2;0.0
3;0.3
4;0.1
5;0.5
6;0.1
7;0.4
8;0.0
9;0.1
10;0.2
11;0.6
12;0.0
13;0.0
14;0.0
15;0.2
16;0.3
17;0.3
18;0.6
19;0.0
20;0.3
21;0.5
22;0.2
23;0.0
24;0.1
25;0.2
26;0.1
27;0.2
28;0.3
29;0.1
30;0.1
31;0.2
32;0.4
33;0.7
34;0.2
35;0.4
36;0.1
37;0.7
38;0.4
39;0.6
40;0.4
41;0.3
42;0.4
43;0.5
44;0.7
45;0.0
46;0.0
47;0.1
48;0.2
49;0.6
50;0.1
51;0.5
52;0.1
53;0.4
54;0.0
55;0.1
56;0.1
57;0.1
58;0.0
59;0.1
60;0.0
61;0.1
62;0.5
63;0.1
64;0.1
65;0.0
66;0.2
67;0.0
68;0.0
69;0.2
70;0.1
71;0.2
72;0.4
73;0.3
74;0.2
75;0.4
76;0.4
77;0.3
78;0.3
79;0.0
80;0.2
81;0.1
82;0.2
83;0.2
84;0.1
85;0.1
86;0.4
87;0.1
88;0.1
89;0.0
90;0.2
91;0.2
92;0.0
94;0.3
95;0.1
96;0.2
97;0.2
98;0.1
99;0.2
100;0.3
